100M,10,0m0.044s,0m0.043s
100M,50,0m0.059s,0m0.091s
100M,100,0m0.101s,0m0.226s
300M,10,0m0.049s,0m0.058s
300M,50,0m0.085s,0m0.135s
300M,100,0m0.331s,0m0.244s
500M,10,0m0.042s,0m0.050s
500M,50,0m0.119s,0m0.184s
500M,100,0m0.456s,0m0.336s
