19M,10,0m5.893s,0m1.130s
19M,50,0m46.809s,1m6.804s
19M,100,2m1.068s,3m4.804s
57M,10,0m11.148s,0m5.713s
57M,50,2m1.697s,3m21.103s
57M,100,3m57.858s,7m39.160s
95M,10,0m17.080s,0m10.929s
95M,50,3m6.333s,6m22.876s
95M,100,6m23.485s,11m21.144s
